日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,000001,1402.93,1355.31,1406.45,1353.55,241923,580249472.0,3.79,-2.78,-38.8,0.83
2010-01-05,000001,1357.66,1331.21,1366.48,1298.88,556500,1293476992.0,4.99,-1.78,-24.1,1.9
2010-01-06,000001,1328.27,1307.7,1328.27,1297.12,412143,944453696.0,2.34,-1.77,-23.51,1.41
2010-01-07,000001,1307.7,1293.0,1316.51,1278.3,355337,804166336.0,2.92,-1.12,-14.7,1.22
2010-01-08,000001,1284.18,1290.06,1298.88,1275.37,288543,650667392.0,1.82,-0.23,-2.94,0.99
2010-01-11,000001,1342.97,1290.06,1353.55,1271.25,442846,1009985536.0,6.38,0.0,0.0,1.51
2010-01-12,000001,1288.3,1281.24,1293.0,1243.03,591796,1310068992.0,3.87,-0.68,-8.82,2.02
2010-01-13,000001,1247.15,1193.65,1248.91,1184.25,935039,1990492672.0,5.05,-6.84,-87.59,3.2
2010-01-14,000001,1196.01,1194.24,1205.41,1172.49,521195,1089329408.0,2.76,0.05,0.59,1.78
2010-01-15,000001,1197.18,1221.28,1234.22,1175.43,539508,1146375296.0,4.92,2.26,27.04,1.85
2010-01-18,000001,1221.28,1223.63,1240.68,1208.35,349127,749941248.0,2.65,0.19,2.35,1.19
2010-01-19,000001,1230.1,1268.31,1274.78,1228.93,650715,1438886656.0,3.75,3.65,44.68,2.23
2010-01-20,000001,1267.72,1218.34,1290.06,1213.64,490836,1079325952.0,6.03,-3.94,-49.97,1.68
2010-01-21,000001,1230.1,1294.76,1301.82,1218.34,632301,1405279488.0,6.85,6.27,76.42,2.16
2010-01-22,000001,1280.66,1318.28,1340.03,1247.74,882539,2002921984.0,7.13,1.82,23.52,3.02
2010-01-25,000001,1290.06,1265.96,1319.45,1260.67,356059,803320192.0,4.46,-3.97,-52.32,1.22
2010-01-26,000001,1265.96,1257.73,1289.47,1231.28,345326,760432384.0,4.6,-0.65,-8.23,1.18
2010-01-27,000001,1277.72,1249.5,1290.06,1237.16,401035,892337344.0,4.21,-0.65,-8.23,1.37
2010-01-28,000001,1243.03,1240.09,1257.73,1202.47,262132,567566976.0,4.42,-0.75,-9.41,0.9
2010-01-29,000001,1230.69,1237.16,1275.37,1214.82,240688,528437728.0,4.88,-0.24,-2.93,0.82
2010-02-01,000001,1237.74,1210.11,1241.27,1196.01,283180,602675200.0,3.66,-2.19,-27.05,0.97
2010-02-02,000001,1211.29,1217.76,1252.44,1211.29,286734,620475776.0,3.4,0.63,7.65,0.98
2010-02-03,000001,1227.16,1288.89,1288.89,1210.11,549006,1214267904.0,6.47,5.84,71.13,1.88
2010-02-04,000001,1274.19,1266.55,1281.24,1255.38,303346,675283328.0,2.01,-1.73,-22.34,1.04
2010-02-05,000001,1232.45,1254.79,1273.6,1220.11,276174,601515200.0,4.22,-0.93,-11.76,0.94
2010-02-08,000001,1247.74,1228.93,1259.49,1222.46,206423,447137536.0,2.95,-2.06,-25.86,0.71
2010-02-09,000001,1231.28,1254.79,1263.61,1227.16,248170,543120256.0,2.97,2.1,25.86,0.85
2010-02-10,000001,1266.55,1271.25,1277.13,1255.97,253840,564177472.0,1.69,1.31,16.46,0.87
2010-02-11,000001,1267.14,1261.26,1275.37,1259.49,139102,308844864.0,1.25,-0.79,-9.99,0.48
2010-02-12,000001,1264.78,1281.24,1290.06,1264.78,188386,422488288.0,2.0,1.58,19.98,0.64
2010-02-22,000001,1273.01,1260.67,1281.24,1259.49,165778,367933696.0,1.7,-1.61,-20.57,0.57
2010-02-23,000001,1256.55,1228.34,1257.73,1219.52,237781,513377920.0,3.03,-2.56,-32.33,0.81
2010-02-24,000001,1220.11,1237.74,1242.45,1208.94,231486,497531456.0,2.73,0.77,9.4,0.79
2010-02-25,000001,1235.39,1263.61,1278.89,1231.86,347879,770836544.0,3.8,2.09,25.87,1.19
2010-02-26,000001,1255.38,1281.24,1291.24,1253.61,450217,1008966464.0,2.98,1.4,17.63,1.54
2010-03-02,000001,1307.11,1320.04,1370.01,1307.11,684647,1599219840.0,4.91,3.03,38.8,2.34
2010-03-03,000001,1320.04,1331.21,1334.15,1301.82,284111,655444672.0,2.45,0.85,11.17,0.97
2010-03-04,000001,1332.39,1319.45,1350.61,1313.58,376321,877389760.0,2.78,-0.88,-11.76,1.29
