trade_date,open,close,high,low,vol
2025-01-02,1524.0,1488.0,1524.49,1480.0,50029
2025-01-03,1494.5,1475.0,1494.99,1467.01,32628
2025-01-06,1453.0,1440.0,1462.66,1432.8,44255
2025-01-07,1444.66,1440.2,1451.89,1439.0,24221
2025-01-08,1440.0,1442.5,1451.82,1426.66,35258
2025-01-09,1448.99,1444.0,1464.58,1432.98,29706
2025-01-10,1447.1,1436.0,1451.95,1436.0,21872
2025-01-13,1425.0,1443.98,1444.44,1422.01,21083
2025-01-14,1444.95,1472.5,1478.68,1442.0,30957
2025-01-15,1467.0,1471.27,1474.6,1460.01,18399
2025-01-16,1474.0,1446.38,1482.66,1442.0,26342
2025-01-17,1446.39,1454.75,1461.0,1446.38,18309
2025-01-20,1461.0,1474.8,1489.79,1460.0,31410
2025-01-21,1481.0,1468.15,1482.0,1465.0,16856
2025-01-22,1463.27,1441.0,1467.95,1438.0,28294
2025-01-23,1449.97,1443.0,1468.0,1438.0,27125
2025-01-24,1442.0,1436.0,1447.79,1430.31,31360
2025-01-27,1437.0,1434.99,1443.97,1427.02,29356
2025-02-05,1440.0,1403.8,1443.0,1402.21,40757
2025-02-06,1400.01,1412.84,1421.99,1400.01,27356
2025-02-07,1413.68,1436.0,1442.68,1403.41,37242
2025-02-10,1438.0,1431.51,1440.0,1427.09,20840
2025-02-11,1434.95,1418.0,1435.96,1415.9,23573
2025-02-12,1418.0,1443.0,1445.0,1416.88,25476
2025-02-13,1443.02,1465.06,1475.25,1434.51,43385
2025-02-14,1465.06,1475.0,1477.0,1458.22,27100
2025-02-17,1481.0,1471.62,1494.98,1467.1,32471
2025-02-18,1470.0,1475.0,1492.99,1462.08,27800
2025-02-19,1475.05,1491.0,1494.44,1464.9,32393
2025-02-20,1483.0,1474.0,1491.97,1473.39,23750
2025-02-21,1480.0,1488.21,1496.73,1473.01,36418
2025-02-24,1488.0,1479.07,1499.52,1474.0,34744
2025-02-25,1470.01,1454.0,1473.39,1452.0,28387
2025-02-26,1455.45,1460.01,1464.96,1445.0,26366
2025-02-27,1460.02,1485.56,1489.9,1454.0,49762
2025-02-28,1485.5,1500.79,1528.38,1482.0,56129
2025-03-03,1502.6,1487.02,1520.99,1481.5,31596
2025-03-04,1485.0,1470.11,1486.0,1465.21,25211
2025-03-05,1472.0,1466.37,1474.0,1460.1,24605
2025-03-06,1474.0,1505.98,1510.2,1472.08,42168
2025-03-07,1503.0,1521.0,1528.36,1503.0,37991
2025-03-10,1519.81,1522.9,1526.88,1506.14,31369
2025-03-11,1517.0,1548.68,1548.68,1512.0,39776
2025-03-12,1546.96,1542.58,1549.68,1526.35,29604
2025-03-13,1544.0,1537.77,1555.5,1530.88,25724
2025-03-14,1547.66,1628.01,1628.01,1541.0,92913
2025-03-17,1657.0,1637.86,1657.99,1626.88,54689
2025-03-18,1645.04,1624.0,1652.0,1621.7,31613
2025-03-19,1624.29,1635.71,1648.0,1623.0,27390
2025-03-20,1635.71,1604.0,1637.6,1595.07,36737
2025-03-21,1599.0,1573.75,1612.2,1568.83,33614
2025-03-24,1570.0,1583.0,1589.66,1562.38,25566
2025-03-25,1588.0,1575.5,1592.8,1566.66,17674
2025-03-26,1572.77,1576.0,1582.58,1571.0,14324
2025-03-27,1576.0,1589.0,1598.25,1573.38,17956
2025-03-28,1590.93,1585.21,1593.0,1576.0,16228
2025-03-31,1580.98,1561.0,1586.96,1560.06,21085
2025-04-01,1564.0,1556.02,1569.89,1552.21,18556
2025-04-02,1558.0,1549.02,1567.8,1545.5,21674
2025-04-03,1530.0,1568.88,1586.0,1529.01,35481
2025-04-07,1520.01,1500.0,1536.85,1462.0,101953
2025-04-08,1513.0,1545.0,1545.0,1495.0,73876
2025-04-09,1525.02,1541.04,1556.8,1520.55,55630
2025-04-10,1550.99,1549.0,1555.0,1528.0,38620
2025-04-11,1579.97,1568.98,1579.97,1545.0,32634
2025-04-14,1560.97,1551.99,1566.0,1551.53,21711
2025-04-15,1552.0,1558.0,1565.0,1545.0,21489
2025-04-16,1552.0,1559.17,1576.0,1537.0,31156
2025-04-17,1554.0,1570.0,1576.5,1549.99,23846
