trade_date,open,close,high,low,vol
2010-01-04,664.26,656.49,664.26,654.11,44305
2010-01-05,660.45,654.6,662.38,652.94,31513
2010-01-06,652.9,644.48,654.83,642.78,39889
2010-01-07,644.48,633.01,646.11,626.06,48826
2010-01-08,634.06,626.51,634.06,619.34,36702
2010-01-11,632.55,623.83,637.46,620.85,24461
2010-01-12,624.44,640.29,642.25,621.26,31063
2010-01-13,634.02,624.4,638.4,622.74,37924
2010-01-14,626.51,651.2,653.69,626.51,46455
2010-01-15,651.09,656.22,669.47,651.09,45939
2010-01-18,656.71,660.41,665.25,656.34,21462
2010-01-19,660.45,655.85,662.38,654.83,17819
2010-01-20,656.37,641.31,657.28,640.86,20973
2010-01-21,641.08,644.37,650.6,639.73,17257
2010-01-22,643.88,634.55,646.48,626.1,25433
2010-01-25,633.5,641.76,646.52,628.44,23239
2010-01-26,650.18,644.26,657.36,636.33,32889
2010-01-27,641.73,633.99,648.33,632.55,19317
2010-01-28,633.53,653.69,658.04,632.17,30268
2010-01-29,656.53,651.2,657.47,647.96,37173
2010-02-01,652.49,652.52,655.13,645.43,29656
2010-02-02,649.16,643.58,656.71,642.71,15494
2010-02-03,642.41,641.35,649.54,634.82,23035
2010-02-04,641.24,651.43,653.88,638.33,22475
2010-02-05,647.69,661.43,663.81,645.39,26234
2010-02-08,661.43,661.36,677.85,658.68,31496
2010-02-09,664.26,660.9,669.29,658.71,14151
2010-02-10,664.26,663.62,666.49,659.36,6398
2010-02-11,663.51,669.47,673.48,662.75,14945
2010-02-12,671.7,668.38,672.57,665.02,9346
2010-02-22,668.04,653.24,668.42,653.2,12178
2010-02-23,653.88,644.44,658.6,636.71,23562
2010-02-24,644.48,648.86,651.43,639.73,9904
2010-02-25,645.01,650.11,656.71,645.01,15314
2010-02-26,652.86,644.78,652.86,643.88,10339
2010-03-01,643.31,642.52,647.09,641.58,21735
2010-03-02,643.92,640.1,644.6,637.46,17182
2010-03-03,641.58,640.33,642.52,637.57,14233
2010-03-04,641.69,638.37,644.82,634.06,14169
2010-03-05,638.4,635.61,639.54,635.12,9771
2010-03-08,635.87,630.97,637.76,629.53,23259
2010-03-09,631.04,630.93,632.93,629.15,12341
2010-03-10,631.31,632.78,632.93,629.91,11814
2010-03-11,633.53,630.33,635.76,628.7,13519
2010-03-12,630.36,626.21,632.82,624.96,12192
2010-03-15,626.17,614.05,626.17,611.03,15809
2010-03-16,614.05,614.96,617.64,611.03,7764
2010-03-17,615.11,620.89,621.15,614.81,18711
2010-03-18,621.15,612.96,624.13,610.47,14727
2010-03-19,614.73,614.28,616.47,611.41,13362
2010-03-22,616.09,611.41,617.45,610.2,23008
2010-03-23,610.69,608.69,613.22,607.33,18330
2010-03-24,609.83,615.75,618.13,609.71,20176
2010-03-25,614.81,611.03,614.81,610.66,9814
2010-03-26,612.05,617.68,622.28,611.71,20527
2010-03-29,617.83,625.46,626.4,615.22,31475
2010-03-30,625.61,619.0,626.36,617.07,19012
2010-03-31,618.85,614.28,625.08,613.3,14905
2010-04-01,614.36,619.19,620.85,614.28,23981
2010-04-02,611.41,591.14,611.41,587.25,154282
2010-04-06,588.38,588.16,592.5,586.12,53123
2010-04-07,588.27,589.25,591.97,585.82,41061
2010-04-08,589.36,583.14,589.4,581.21,32921
2010-04-09,581.25,577.96,583.47,572.87,54418
2010-04-12,578.19,570.98,580.38,569.05,38514
2010-04-13,571.39,580.76,584.95,569.51,54305
2010-04-14,584.49,583.17,584.49,574.64,46368
2010-04-15,583.66,571.7,583.66,569.88,40617
2010-04-16,571.66,573.58,579.36,569.13,29396
2010-04-19,573.7,566.71,579.51,565.54,41332
2010-04-20,566.11,556.75,566.11,543.91,49387
2010-04-21,556.67,573.73,574.45,549.91,63366
2010-04-22,571.21,575.77,578.38,566.22,37064
2010-04-23,573.66,557.92,579.7,555.16,66687
2010-04-26,539.68,531.87,541.87,531.75,107036
2010-04-27,531.72,516.84,531.72,515.9,58234
2010-04-28,513.26,513.75,518.54,509.48,26287
2010-04-29,515.37,521.75,525.56,515.37,34501
2010-04-30,511.1,502.04,511.1,497.21,85567
2010-05-04,498.12,500.57,504.04,493.96,23975
2010-05-05,497.4,508.69,510.39,495.51,33839
2010-05-06,509.48,495.7,509.48,495.51,28240
2010-05-07,490.6,505.74,507.1,488.72,31255
2010-05-10,513.26,519.07,528.36,513.26,66193
2010-05-11,526.81,519.52,528.36,516.39,33632
2010-05-12,518.13,517.71,520.81,505.71,21643
2010-05-13,517.9,524.09,527.22,517.9,27050
2010-05-14,524.13,524.39,528.77,520.81,18126
2010-05-17,523.45,504.95,523.45,504.2,17644
2010-05-18,505.71,506.12,509.37,491.28,26037
2010-05-19,507.59,505.06,510.24,498.23,10799
2010-05-20,503.63,511.29,518.28,501.97,22740
2010-05-21,503.44,521.6,523.07,499.93,27341
2010-05-24,524.54,528.24,530.24,521.94,29783
2010-05-25,526.85,510.42,526.85,508.54,22051
2010-05-26,511.37,513.03,515.75,506.31,11025
2010-05-31,518.92,512.8,525.41,512.8,23550
2010-06-01,512.31,515.63,518.77,507.59,23526
2010-06-02,515.37,521.41,522.32,511.93,21889
2010-06-03,524.54,524.7,530.24,518.54,24949
2010-06-04,524.32,536.36,537.42,521.6,30036
2010-06-07,532.13,547.46,552.03,528.36,38125
2010-06-08,547.46,543.91,550.56,539.68,14395
2010-06-09,544.29,548.82,553.27,543.76,18054
2010-06-10,548.74,548.55,553.27,545.46,11781
2010-06-11,549.38,538.59,552.9,538.02,19573
2010-06-17,540.44,530.17,541.53,529.53,12524
2010-06-18,528.39,514.24,531.38,509.52,20102
2010-06-21,514.77,522.47,522.69,510.24,18954
2010-06-22,518.01,513.97,520.58,510.99,20779
2010-06-23,513.26,512.12,516.58,511.07,12813
2010-06-24,512.92,505.59,515.03,504.5,24344
2010-06-25,504.95,507.67,509.48,501.29,19011
2010-06-28,506.46,498.19,506.54,497.44,14817
2010-06-29,500.08,491.62,503.4,488.76,27783
2010-06-30,490.6,495.74,496.27,489.28,17824
2010-07-01,497.59,494.46,497.59,492.49,7450
2010-07-02,492.68,496.95,502.31,492.68,16453
2010-07-05,496.97,494.36,498.1,489.64,14041
2010-07-06,494.7,501.12,503.23,491.3,15306
2010-07-07,501.12,500.06,504.52,496.97,8788
2010-07-08,499.27,503.84,504.52,499.27,8516
2010-07-09,504.82,514.18,518.48,501.53,27379
2010-07-12,513.2,512.86,522.64,512.26,17834
2010-07-13,512.97,508.48,512.97,504.55,7439
2010-07-14,507.91,511.09,514.56,506.52,9643
2010-07-15,512.07,517.09,522.26,511.5,18833
2010-07-16,513.58,524.56,526.56,512.37,32950
2010-07-19,521.69,532.08,533.59,521.17,19412
2010-07-20,532.76,534.76,537.7,527.85,26886
2010-07-21,534.76,539.93,549.44,534.76,24363
2010-07-22,543.4,540.23,543.4,535.85,16222
2010-07-23,541.06,550.61,551.78,541.06,38466
2010-07-26,550.61,551.56,558.43,548.88,22017
2010-07-27,548.31,555.48,556.16,548.31,25229
2010-07-28,557.75,559.03,559.37,553.59,27740
2010-07-29,558.99,545.74,559.63,544.76,45373
2010-07-30,545.21,542.91,545.21,538.49,29439
2010-08-02,542.76,561.33,567.79,542.76,42966
2010-08-03,559.26,556.46,566.05,555.52,17573
2010-08-04,555.48,563.11,563.79,554.42,17350
2010-08-05,563.33,578.74,583.23,563.33,41966
2010-08-06,577.38,578.89,581.15,575.11,21841
2010-08-09,579.08,591.76,594.06,579.08,38704
2010-08-10,591.76,573.45,599.24,572.47,28740
2010-08-11,570.58,577.57,581.91,570.58,15191
2010-08-12,577.38,581.61,592.86,571.38,31026
2010-08-13,581.46,587.16,591.2,579.34,15776
2010-08-16,587.23,596.63,598.1,587.23,25910
2010-08-17,596.25,604.9,609.28,595.12,35748
2010-08-18,604.48,596.4,609.92,594.37,30174
2010-08-19,596.56,590.44,600.41,587.57,35437
2010-08-20,590.18,581.49,590.18,579.95,20842
2010-08-23,579.08,588.4,589.08,578.13,13215
2010-08-24,586.89,591.04,596.97,582.29,10838
2010-08-25,587.57,584.89,592.93,584.29,16508
2010-08-26,585.31,587.08,587.76,580.02,12233
2010-08-27,585.68,589.69,590.33,582.66,8799
2010-08-30,592.03,622.76,623.44,592.03,53784
2010-08-31,617.89,620.53,627.17,615.43,31400
2010-09-01,618.91,611.66,627.97,607.96,25589
2010-09-02,615.89,623.4,631.29,615.39,24822
2010-09-03,622.68,633.33,643.75,622.68,27761
2010-09-06,638.54,648.8,655.9,638.54,29008
2010-09-07,650.05,643.33,657.79,641.56,22374
2010-09-08,642.31,647.9,651.75,642.31,15011
2010-09-09,649.86,649.45,657.79,646.09,21504
2010-09-10,651.75,659.26,660.81,647.97,19868
2010-09-13,657.41,656.58,674.21,653.45,28063
2010-09-14,656.47,650.96,662.02,644.58,26383
2010-09-15,649.86,632.68,650.96,629.85,21032
2010-09-16,631.36,620.94,638.72,611.69,20498
2010-09-17,620.49,630.27,640.2,614.04,17975
2010-09-20,634.23,640.99,646.09,630.99,12576
2010-09-21,647.97,646.39,649.41,638.57,14940
2010-09-27,646.46,656.77,657.41,643.44,18548
2010-09-28,655.86,664.13,665.68,653.64,22585
2010-09-29,662.7,650.47,667.04,649.9,13272
2010-09-30,648.2,656.39,658.17,646.09,14579
2010-10-08,657.41,674.51,681.95,657.41,31609
2010-10-11,676.29,652.88,685.46,646.09,43743
2010-10-12,652.92,648.35,661.11,639.63,28543
2010-10-13,646.09,627.21,648.09,622.87,60288
2010-10-14,627.29,617.55,628.34,611.39,53244
2010-10-15,617.85,623.36,634.76,617.06,72100
2010-10-18,623.44,632.57,642.92,603.8,96564
2010-10-19,628.8,635.78,641.93,623.44,53448
2010-10-20,623.81,651.41,657.03,623.78,47373
2010-10-21,652.13,651.64,661.38,645.33,37622
2010-10-22,651.67,654.05,667.23,648.58,41047
2010-10-25,657.41,672.51,675.53,654.13,36195
2010-10-26,671.76,657.45,672.06,653.67,28591
2010-10-27,656.47,654.2,658.92,647.97,28913
2010-10-28,653.26,650.01,654.77,648.84,19441
2010-10-29,641.33,635.33,642.58,625.32,65466
2010-11-01,635.52,637.63,641.93,631.74,49659
2010-11-02,640.5,633.52,640.5,629.44,62292
2010-11-03,634.76,636.08,644.77,629.1,42253
2010-11-04,638.35,642.5,644.35,633.93,44629
2010-11-05,643.44,638.46,646.09,635.89,34655
2010-11-08,638.5,636.61,638.54,628.15,56894
2010-11-09,637.03,645.56,648.31,633.7,60738
2010-11-10,648.35,697.92,708.19,647.97,150005
2010-11-11,706.45,683.54,706.45,676.7,74217
2010-11-12,682.14,689.61,729.44,682.03,126500
2010-11-15,706.45,712.87,729.14,706.45,79039
2010-11-16,721.55,688.33,721.59,678.18,72292
2010-11-17,683.46,642.31,683.46,637.78,80509
2010-11-18,648.16,659.26,664.85,646.09,40286
2010-11-19,665.34,680.67,683.84,661.98,48955
2010-11-22,679.61,693.31,707.92,675.53,47941
2010-11-23,692.82,733.07,733.67,684.59,108470
2010-11-24,744.24,774.14,799.36,744.24,110799
2010-11-25,776.44,785.66,788.11,763.12,45580
2010-11-26,785.66,801.78,822.28,776.75,63799
2010-11-29,794.26,836.47,857.5,794.26,67499
2010-11-30,836.24,792.6,836.24,775.69,65665
2010-12-01,785.77,783.5,804.65,774.52,38016
2010-12-02,790.3,767.53,797.09,766.55,42940
2010-12-03,766.89,773.65,787.62,765.76,43037
2010-12-06,773.88,748.09,781.99,737.11,43282
2010-12-07,743.83,765.23,769.91,736.16,31805
2010-12-08,765.01,760.02,781.24,759.38,28335
2010-12-09,759.3,756.55,762.29,745.37,24461
2010-12-10,749.34,765.84,770.22,740.47,39587
2010-12-13,765.01,763.08,765.01,749.9,58593
2010-12-14,764.29,766.55,780.11,762.36,61543
2010-12-15,766.89,777.09,787.01,766.89,47424
2010-12-16,819.71,800.79,821.63,798.98,66818
2010-12-17,804.65,791.13,809.18,788.83,51770
2010-12-20,797.02,764.55,799.59,751.79,68557
2010-12-21,764.44,751.79,765.42,748.05,59359
